"photographer","name","role","begin_date","end_date"
Eddie Thomas Adams,,,,
Eve Arnold,,,,
Charlotte Finkelstein Brooks,Life,advertising photography,"1943","1945"
Cornell Capa,Life,photographer,"1946",
Cornell Capa,Look,photographer,"1953",
Cornell Capa,Life,technician,"1937",
Max Desfor,,,,
Ronald Allen Edmonds,Honolulu Star-Bulletin,Chief photographer,"1977",
Ronald Allen Edmonds,Honolulu Star-Bulletin,staff photographer,"1972",
William M. Gallagher,,,,
Jeff Widener,,,,
Neal Ulevich,,,,
David Leeson,The Dallas Morning News,staff photographer,"1984",
